UserName,GPA
s991901137,19.00
s991502430,18.11
s991502424,16.22
s991502423,16.98
s991502406,14.76
s991502402,16.98
s991502199,14.65
s991502198,14.98
s991502140,15.98
s991502139,15.88
s991502138,13.44
s991502137,12.76
s991502134,14.88
s991502133,14.76
s991502132,15.44
s991502131,14.87
s991502130,14.87
s991502129,15.99
s991502127,18.44
s991502126,17.44
s991502125,15.66
s991502124,13.87
s991502119,13.76
s991502118,12.98
s991502117,19.99
s991502116,14.65
s991502115,13.65
s991502114,14.76
s991502113,14.87
s991502112,14.88
s991502111,15.78
s991502110,14.88
s991502109,15.98
s991502108,13.88
s991502106,19.01
s991502104,14.88
s991502102,15.98
s991502101,14.98
s991406156,14.33
s991406137,15.87
s991404131,14.98
s991404130,14.98
s991404128,15.88
s991404121,15.76
s991404114,14.95
s991403146,14.77
s991402143,14.76
s991402101,13.44
s991401154,15.87
s991302103,13.98
s991105197,15.76
s991105142,14.54
s991105138,14.44
s991105133,12.99
s991105132,18.87
s991105121,13.65
s981804210,13.98
s981802231,14.88
s981801212,15.65
s981505183,14.88
s981503140,13.76
s981502901,13.98
s981502421,12.99
s981502145,19.55
s981502144,18.44
s981502143,13.54
s981502142,12.54
s981502141,16.99
s981502138,13.98
s981502137,13.66
s981502136,15.97
s981502135,14.98
s981502134,16.66
s981502133,13.95
s981502132,14.99
s981502131,13.09
s981502130,15.86
s981502129,15.96
s981502128,12.99
s981502126,19.43
s981502125,16.91
s981502123,19.22
s981502122,18.43
s981502120,14.55
s981502119,13.98
s981502118,15.93
s981502117,15.99
s981502115,16.98
s981502114,14.92
s981502112,13.66
s981502111,15.99
s981502109,14.99
s981502107,13.44
s981502104,15.87
s981502103,13.98
s981502102,15.76
s981502101,14.54
s981406150,14.44
s981406140,12.99
s981406125,18.87
s981404138,13.65
s981403121,13.98
s981402153,14.88
s981402141,15.65
s981402140,14.88
s981402109,13.76
s981401147,13.98
s981401143,12.99
s981401137,19.55
s981401127,18.44
s981301901,13.54
s981301121,12.54
s981301116,16.99
s981207109,13.98
s981206231,13.66
s981205138,15.97
s981205106,14.98
s971502901,13.98
s971502505,13.66
s971502502,15.97
s971502138,14.98
s971502133,16.66
s971502126,13.95
s971502120,14.99
s971502118,13.09
s971502106,15.86
s971502104,15.96
s971406150,12.99
s971406123,19.43
s971404145,16.91
s971404115,19.22
s971403164,18.43
s971401110,14.55
s971304126,13.98
s971304106,15.93
s971205904,15.99
s971102109,16.98
s961803109,14.92
s961510112,13.66
s961502901,15.99
s961502152,14.99
s961502151,13.44
s961502149,15.87
s961502138,13.98
s961502127,18.11
s961502124,16.22
s961502120,16.98
s961502113,14.76
s961502112,16.98
s961502103,14.65
s961406179,14.98
s961403143,15.98
s961302126,15.88
s961205161,13.44
s961105902,12.76
s951510901,14.88
s951506111,14.76
s951502856,15.44
s951404128,14.87
s951401158,14.87
s951102137,15.99
s941502376,18.44
s941102147,17.44
s941102140,15.66
o-4670319736,13.87
o-4670273000,13.76
o-4610808714,12.98
o-4610786400,19.99
o-4610763605,14.65
o-4610667398,13.65
o-4610573016,14.76
o-4610545942,14.87
o-4610487535,14.88
