UserName,GPA
s961303103,13.85
s961303107,12.63
s961303118,13.70
s961303121,15.13
s961303124,15.01
s971303103,15.61
s971303104,15.09
s971303105,17.67
s971303106,15.75
s971303107,16.01
s971303108,13.24
s971303109,14.55
s971303110,14.59
s971303113,16.44
s971303114,14.35
s971303115,16.33
s971303118,15.40
s971303119,18.22
s971303120,16.94
s971303121,14.67
s971303123,16.93
s971303125,14.50
s971303126,12.15
s971303129,16.33
s971303137,13.80
s971303138,14.11
s971303407,15.24
s971303901,14.82
