UserName,GPA
s991403901,13.11
s991403161,11.23
s991403149,14.54
s991403145,13.55
s991403142,16.76
s991403132,15.65
s991403129,14.44
s991403127,12.22
s991403123,14.65
s991403121,12.88
s991403115,12.66
s991403111,19.00
s991403105,13.23
s981403156,15.54
s981403155,14.54
s981403143,13.54
s981403141,15.76
s981403135,18.11
s981403131,16.76
s981403126,12.00
s981403117,13.13
s981403115,17.11
s981403114,13.65
s981403110,13.98
s981403103,12.99
s981403101,20.00
s971403812,13.76
s971403502,13.76
s971403501,12.33
s971403169,13.87
s971403167,13.43
s971403166,12.43
s971403164,17.33
s971403162,12.98
s971403161,13.11
s971403160,11.23
s971403159,14.54
s971403158,13.55
s971403157,16.76
s971403156,15.65
s971403155,14.44
s971403154,12.22
s971403151,14.65
s971403150,12.88
s971403149,12.66
s971403147,19.00
s971403146,13.23
s971403144,15.54
s971403143,14.54
s971403142,13.54
s971403141,15.76
s971403139,18.11
s971403138,16.76
s971403137,12.00
s971403135,13.13
s971403134,17.11
s971403131,13.65
s971403130,13.98
s971403129,12.99
s971403128,20.00
s971403126,13.76
s971403124,13.76
s971403123,12.33
s971403122,13.87
s971403118,13.43
s971403117,12.43
s971403115,17.33
s971403114,12.98
s971403113,13.11
s971403112,11.23
s971403108,14.54
s971403107,13.55
s971403106,16.76
s971403105,15.65
s971403104,14.44
s961403154,12.22
s961403152,14.65
s961403148,12.88
s961403145,12.66
s961403143,19.00
s961403142,13.23
s961403139,15.54
s961403138,14.54
s961403135,13.54
s961403134,15.76
s961403130,18.11
s961403127,16.76
s961403126,12.00
s961403125,13.13
s961403124,17.11
s961403122,13.65
s961403119,13.98
s961403117,12.99
s961403115,20.00
s961403114,13.76
s961403113,13.76
s961403112,12.33
s961403111,13.87
s961403110,13.43
s961403108,12.43
s961403107,17.33
s961403106,12.98
s961403101,13.11
s951403901,11.23
s951403141,14.54
s951403122,13.55
s951403104,16.76
