UserName,GPA
s971302114,13.85
s961302126,12
s971302117,13
s971302113,15.50
s971302125,15
s971302127,15
s971302107,17
s971302129,15
s971302102,16
s971302122,13
s971302108,14
s971302123,14
s971303110,16
s971303109,14.50
s971303129,16.30
s971303138,15.40
s971302124,18.22
s971302101,16.90
s971302105,14.78
s971303108,13.70
s971303125,14.11
s961303115,15.34
s991305116,14.82
s971302109,13.98
s961303119,17.90
s991305109,14.20
s971303901,16
s961303138,20
s961303132,13.98
s991305117,18
s961303118,13.40
s971303114,15
s991302107,17.1
s991302125,16.9
s991302121,15.90
s991302128,13.40
s991302119,15.78
s991302131,16.98
s991302129,14.99
s991302135,11.11
s981302502,15.76
s991302103,14.50
s991302112,16.30
s991302113,15.40
s991302101,18.22
s991302127,16.90
s991302102,14.78
s991302136,13.70
s991302120,14.11
s991302111,15.34
s961302120,14.99
s991302124,13
s991302126,17.94
s991302130,14.23
s991302122,12.11
s991302134,13.11
s991302115,11.33
s961303120,12.33
s991302123,17.11
s991302109,10.88
s991302108,10.56
s991302106,10
s951302123,12.98
s971302501,19
