UserName,GPA
s951102501,17.00
s961105117,13.98
s961105123,17.98
s961105902,16.88
s961120901,14.98
s991105101,16.98
s991105102,13.76
s991105103,18.44
s991105104,18.98
s991105105,15.99
s991105106,16.98
s991105107,14.98
s991105109,19.99
s991105110,18.98
s991105111,19.45
s991105112,14.98
s991105113,15.98
s991105114,16.98
s991105115,14.77
s991105116,18.44
s991105117,17.87
s991105119,15.87
s991105120,14.76
s991105121,19.87
s991105123,14.65
s991105124,19.98
s991105126,18.76
s991105128,17.77
s991105130,16.87
s991105131,17.98
s991105132,18.98
s991105133,18.88
s991105135,17.98
s991105136,18.98
s991105137,18.99
s991105138,19.99
s991105139,18.88
s991105140,17.87
s991105141,16.98
s991105142,12.76
s991105143,16.76
s991105144,16.09
s991105197,15.76
s991105198,15.87
s991105199,14.65
s961105501,19.11
s961105145,20.00
