ExamID,UserName,Title,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
11,s971210111,مباني به نژادي گياهي - كوئيز 1,5.124.96.129,Chrome 87.0,2021-03-09 11:30:24.527,2021-03-09 11:32:25.467,13.00
11,s971210113,مباني به نژادي گياهي - كوئيز 1,NULL,NULL,NULL,NULL,0.00
11,s971210118,مباني به نژادي گياهي - كوئيز 1,5.124.41.237,Chrome 89.0,2021-03-09 11:24:08.003,2021-03-09 11:30:15.743,13.77
11,s971210126,مباني به نژادي گياهي - كوئيز 1,5.216.182.230,Chrome 88.0,2021-03-09 11:20:52.497,NULL,0.00
11,s971210128,مباني به نژادي گياهي - كوئيز 1,188.40.251.24,Chrome 87.0,2021-03-09 11:22:17.860,2021-03-09 11:29:24.927,16.40
11,s981210203,مباني به نژادي گياهي - كوئيز 1,5.234.59.180,Chrome 83.0,2021-03-09 11:21:30.770,NULL,0.00
11,s981210208,مباني به نژادي گياهي - كوئيز 1,5.218.233.198,Firefox 68.0,2021-03-09 11:20:10.747,NULL,0.00
11,s981210214,مباني به نژادي گياهي - كوئيز 1,5.124.64.129,Chrome 86.0,2021-03-09 11:20:35.450,NULL,0.00
11,s981210219,مباني به نژادي گياهي - كوئيز 1,5.123.224.33,Chrome 88.0,2021-03-09 11:20:07.577,2021-03-09 11:30:18.103,12.00
11,s981210221,مباني به نژادي گياهي - كوئيز 1,93.110.60.149,Chrome 88.0,2021-03-09 11:22:00.960,2021-03-09 11:30:00.887,17.00
11,s981210232,مباني به نژادي گياهي - كوئيز 1,NULL,NULL,NULL,NULL,0.00
11,s981210233,مباني به نژادي گياهي - كوئيز 1,158.58.62.198,Chrome 80.0,2021-03-09 11:20:15.090,NULL,0.00
11,s981210235,مباني به نژادي گياهي - كوئيز 1,5.234.61.62,Chrome 88.0,2021-03-09 11:20:17.747,2021-03-09 11:30:10.257,16.00
11,s981210236,مباني به نژادي گياهي - كوئيز 1,5.215.98.44,Chrome 88.0,2021-03-09 11:20:22.513,NULL,0.00
11,s981210237,مباني به نژادي گياهي - كوئيز 1,NULL,NULL,NULL,NULL,0.00
3052,s991210201,امتحان اول مبانی تولید گیاهان زراعی,46.100.208.128,Firefox 87.0,2021-04-05 17:00:10.623,2021-04-05 17:06:32.930,19.00
3052,s991210202,امتحان اول مبانی تولید گیاهان زراعی,89.47.64.117,Chrome 89.0,2021-04-05 17:00:14.297,2021-04-05 17:05:48.633,18.99
3052,s991210203,امتحان اول مبانی تولید گیاهان زراعی,5.22.100.197,Chrome 89.0,2021-04-05 17:00:30.733,2021-04-05 17:07:45.827,14.98
3052,s991210204,امتحان اول مبانی تولید گیاهان زراعی,5.124.193.198,Chrome 89.0,2021-04-05 17:00:05.977,2021-04-05 17:06:31.900,14.88
3052,s991210205,امتحان اول مبانی تولید گیاهان زراعی,NULL,NULL,NULL,NULL,0.00
3052,s991210207,امتحان اول مبانی تولید گیاهان زراعی,85.239.208.132,Chrome 78.0,2021-04-05 17:00:17.233,2021-04-05 17:06:27.353,15.00
3052,s991210210,امتحان اول مبانی تولید گیاهان زراعی,46.245.125.139,Chrome 89.0,2021-04-05 17:01:40.120,2021-04-05 17:06:40.133,14.00
3052,s991210211,امتحان اول مبانی تولید گیاهان زراعی,151.246.202.6,Chrome 89.0,2021-04-05 17:01:06.957,NULL,1.00
3052,s991210212,امتحان اول مبانی تولید گیاهان زراعی,37.129.116.182,Chrome 89.0,2021-04-05 17:00:15.093,NULL,4.00
3052,s991210213,امتحان اول مبانی تولید گیاهان زراعی,37.255.157.9,Chrome 83.0,2021-04-05 17:00:11.920,2021-04-05 17:07:19.967,13.00
3052,s991210217,امتحان اول مبانی تولید گیاهان زراعی,164.138.138.129,Chrome 83.0,2021-04-05 17:00:09.343,2021-04-05 17:06:50.150,10.00
3052,s991210220,امتحان اول مبانی تولید گیاهان زراعی,5.117.83.22,Chrome 38.0,2021-04-05 17:00:08.070,NULL,1.00
3052,s991210223,امتحان اول مبانی تولید گیاهان زراعی,5.123.35.9,Chrome 86.0,2021-04-05 17:00:14.343,2021-04-05 17:07:25.840,17.00
3052,s991210224,امتحان اول مبانی تولید گیاهان زراعی,2.184.139.120,Chrome 83.0,2021-04-05 17:00:29.140,2021-04-05 17:07:03.837,11.00
3052,s991210228,امتحان اول مبانی تولید گیاهان زراعی,188.215.192.48,Firefox 86.0,2021-04-05 17:01:14.650,2021-04-05 17:06:50.540,13.00
3052,s981210234,امتحان اول مبانی تولید گیاهان زراعی,NULL,NULL,NULL,NULL,0.00
3052,s981210231,امتحان اول مبانی تولید گیاهان زراعی,NULL,NULL,NULL,NULL,0.00
3052,s981210221,امتحان اول مبانی تولید گیاهان زراعی,5.250.3.233,Chrome 81.0,2021-04-05 17:01:22.887,2021-04-05 17:06:33.167,19.00
3052,s981210216,امتحان اول مبانی تولید گیاهان زراعی,158.58.101.167,Chrome 89.0,2021-04-05 17:00:40.407,2021-04-05 17:05:58.447,18.99
3052,s981210208,امتحان اول مبانی تولید گیاهان زراعی,5.22.19.9,Firefox 68.0,2021-04-05 17:00:22.187,2021-04-05 17:06:51.073,14.98
3052,s981210203,امتحان اول مبانی تولید گیاهان زراعی,5.234.61.187,Chrome 89.0,2021-04-05 17:00:47.737,2021-04-05 17:08:29.297,14.88
3052,s991210229,امتحان اول مبانی تولید گیاهان زراعی,46.167.141.199,Chrome 89.0,2021-04-05 17:00:04.787,2021-04-05 17:07:06.917,13.98
