UserName,GPA
s991206229,19.10
s991206227,18.11
s991206226,17.22
s991206225,18.32
s991206224,18.39
s991206223,17.43
s991206222,16.87
s991206218,19.99
s991206217,17.98
s991206216,15.33
s991206214,12.98
s991206213,14.87
s991206210,16.33
s991206208,16.87
s991206204,15.97
s991206202,16.87
s981210237,14.87
s981206232,13.87
s981206231,15.98
s981206230,17.11
s981206226,16.98
s981206225,15.87
s981206224,14.87
s981206223,13.65
s981206218,17.22
s981206215,16.32
s981206212,14.65
s981206209,13.56
s981206208,18.98
s981206205,17.88
s981206204,16.87
s981206202,15.78
s981204124,17.87
s981204117,15.77
s981204113,14.76
s981204111,14.76
s981204108,15.66
s981204107,18.76
s981204106,19.11
s981204105,18.44
s981204102,16.99
s981203228,18.65
s981203225,19.11
s981203223,17.32
s981203219,18.77
s981203216,17.65
s981203214,18.76
s981203206,18.98
s981203204,18.77
s981203203,17.09
s971210111,18.95
s971206901,19.88
s971206108,19.66
s961207127,17.76
s961206125,18.87
s961206117,18.77
s961206105,19.22
s961206104,19.87
s961206101,19.35
s961204126,19.44
s961204121,18.49
s961204114,12.34
s961204113,16.00
s961203130,14.23
s961203124,12.99
s961203123,11.11
s961203121,10.90
s961203117,15.01
s961203111,16.87
s961203103,13.43
s951203122,13.65
s931253127,14.98
