UserName,GPA
s991406128,13.11
s991406111,11.23
s991403155,14.54
s991403140,13.55
s991403137,16.76
s991403136,15.65
s991403134,14.44
s991403132,12.22
s991403110,14.65
s991403103,12.88
s991402457,12.66
s991402454,19.00
s991402451,13.23
s991402161,15.54
s991402153,14.54
s991402138,13.54
s991402127,15.76
s991402117,18.11
s991402112,16.76
s991402105,12.00
s991401160,13.13
s991401156,17.11
s991401152,13.65
s991401151,13.98
s991401149,12.99
s991401141,20.00
s991401136,13.76
s991401132,13.76
s991401130,12.33
s991401126,13.87
s991401118,13.43
s991401117,12.43
s991401111,17.33
s991401102,12.98
s981406116,13.11
s981403142,11.23
s981403129,14.54
s981403109,13.55
s981402905,16.76
s981402903,15.65
s981402504,14.44
s981402503,12.22
s981402501,14.65
s981402161,12.88
s981402155,12.66
s981402151,19.00
s981402150,13.23
s981402149,15.54
s981402144,14.54
s981402142,13.54
s981402138,15.76
s981402136,18.11
s981402129,16.76
s981402114,12.00
s981402110,13.13
s981402109,17.11
s981402108,13.65
s981402107,13.98
s971406139,12.99
s971404128,20.00
s971402504,13.76
s971402458,13.76
s971402163,12.33
s971402160,13.87
s971402159,13.43
s971402157,12.43
s971402156,17.33
s971402155,12.98
s971402154,13.11
s971402152,11.23
s971402150,14.54
s971402148,13.55
s971402146,16.76
s971402145,15.65
s971402144,14.44
s971402141,12.22
s971402139,14.65
s971402138,12.88
s971402137,12.66
s971402135,19.00
s971402134,13.23
s971402133,15.54
s971402132,14.54
s971402131,13.54
s971402130,15.76
s971402129,18.11
s971402125,16.76
s971402124,12.00
s971402123,13.13
s971402121,17.11
s971402120,13.65
s971402119,13.98
s971402117,12.99
s971402116,20.00
s971402115,13.76
s971402114,13.76
s971402113,12.33
s971402111,13.87
s971402110,13.43
s971402107,12.43
s971402106,17.33
s971402105,12.98
s971402104,13.11
s971402103,11.23
s971401115,14.54
s961406108,13.55
s961402805,16.76
s961402802,15.65
s961402516,14.44
s961402501,12.22
s961402164,14.65
s961402156,12.88
s961402150,12.66
s961402147,19.00
s961402142,13.23
s961402141,15.54
s961402140,14.54
s961402135,13.54
s961402133,15.76
s961402130,18.11
s961402128,16.76
s961402125,12.00
s961402122,13.13
s961402121,17.11
s961402119,13.65
s961402118,13.98
s961402117,12.99
s961402116,20.00
s961402114,13.76
s961402113,13.76
s961402112,12.33
s961402110,13.87
s961402105,13.43
s961402101,12.43
s951402509,17.33
s951402504,12.98
s951402501,14.44
s951402152,15.98
s951402143,15.77
s951402141,12.99
s951402138,17.89
s951402133,15.98
s951402130,15.88
s951402124,15.00
s951402115,18.00
s941402149,10.99
