UserName,GPA
s961801110,20.00
s971804114,18.98
s981804234,18.87
s991802216,17.87
s991804202,16.87
s991804203,17.98
s991804204,16.98
s991804207,17.87
s991804208,19.97
s991804209,16.87
s991804210,15.87
s991804212,17.87
s991804213,15.76
s991804214,16.98
s991804215,14.98
s991804217,18.98
s991804219,19.99
s991804222,17.87
s991804223,15.76
s991804226,15.22
s991804227,16.99
s991804228,17.87
s991804230,15.87
s991804233,19.98
s991804234,15.76
s991804235,20.00
s991804236,19.00
s991804237,10.88
s991804238,11.23
s961804105,17.76
