UserName,QuestionID,Title,UserRespnse,Title,ExamID,Title,ResourcePrimaryName
s961303103,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303107,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303118,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303121,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303124,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,10,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303103,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303104,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303105,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303106,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,0,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303107,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303108,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303109,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303110,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303113,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303114,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303115,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303118,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303119,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303120,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303121,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303123,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303129,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303137,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303138,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303901,33579,Ribes aureum با کدام گزینه زیر هماهنگی دارد؟,1000,برگها پنجه ای و میوه سته است  ,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303103,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303107,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303118,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303121,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s961303124,33580,در گونه Holtemia persica:,10,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303103,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303104,33580,در گونه Holtemia persica:,10,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303105,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303106,33580,در گونه Holtemia persica:,0,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303107,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303108,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303109,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303110,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303113,33580,در گونه Holtemia persica:,1,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303114,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
s971303115,33580,در گونه Holtemia persica:,100,گزینه های 2 و 3,3289,سیستماتیک گیاهی 3,سیستماتیک گیاهی ۳ گروه (۱)
