UserName,GPA
s981206232,19.00
s981206231,17.79
s981206230,18.10
s981206226,15.11
s981206225,18.22
s981206224,16.99
s981206223,17.10
s981206218,18.20
s981206215,19.09
s981206212,19.11
s981206209,18.88
s981206208,17.33
s981206205,14.09
s981206204,17.22
s981206202,17.99
s981203228,18.77
s981203225,18.23
s981203223,19.11
s981203219,12.00
s981203216,14.21
s981203214,15.65
s981203206,12.22
s981203204,13.00
s981203203,12.09
s971210111,13.99
s971206901,15.22
s971206128,16.98
s971206127,20.00
s971206122,18.98
s971206121,17.44
s971206118,13.44
s971206117,12.54
s971206115,15.33
s971206113,17.11
s971206112,19.00
s971206111,16.33
s971206110,18.98
s971206108,15.92
s971206107,15.67
s971206106,14.93
s971206105,12.99
s971206104,16.97
s971206101,16.99
s961206125,18.00
s961206117,13.99
s961206105,15.45
s961206104,19.33
s961206101,18.22
s961204126,17.99
s961204114,15.56
s961204113,14.87
s961203130,13.65
s961203124,19.66
s961203123,19.45
s961203121,14.65
s961203117,16.45
s961203111,13.98
s961203103,14.98
s951206502,16.87
s951203122,14.98
s941206123,17.97
