UserName,GPA
s981404901,17.00
s981404503,16.00
s981404140,14.87
s981404139,16.98
s981404137,19.11
s981404135,15.22
s981404134,18.32
s981404133,19.32
s981404132,18.43
s981404131,18.99
s981404129,12.43
s981404128,17.87
s981404127,20.00
s981404126,18.98
s981404125,14.99
s981404124,18.98
s981404123,14.77
s981404122,15.98
s981404120,14.98
s981404119,19.99
s981404118,13.98
s981404117,12.45
s981404116,10.76
s981404114,14.99
s981404112,16.98
s981404110,12.99
s981404108,19.11
s981404107,15.23
s981404105,18.99
s981404104,17.00
s981404103,16.00
s981404102,14.87
s981404101,16.98
s971425501,19.11
s971404906,15.22
s971404903,18.32
s971404902,19.32
s971404802,18.43
s971404801,18.99
s971404501,12.43
s971404149,17.87
s971404148,20.00
s971404147,18.98
s971404145,14.99
s971404144,18.98
s971404143,14.77
s971404141,15.98
s971404140,14.98
s971404138,19.99
s971404137,13.98
s971404135,12.45
s971404134,10.76
s971404133,14.99
s971404132,16.98
s971404131,12.99
s971404129,19.11
s971404127,15.23
s971404125,18.99
s971404124,19.55
s971404123,15.76
s971404122,13.54
s971404121,18.99
s971404120,13.65
s971404119,13.87
s971404116,14.88
s971404115,13.65
s971404114,14.99
s971404113,13.94
s971404112,17.44
s971404111,12.99
s971404110,13.65
s971404109,16.00
s971404108,14.87
s971404107,16.98
s971404106,19.11
s971404105,15.22
s971404104,18.32
s971404103,19.32
s971404102,18.43
s971404101,18.99
s971402153,12.43
s961425511,17.87
s961425510,20.00
s961425505,18.98
s961425504,14.99
s961425503,18.98
s961404507,14.77
s961404505,15.98
s961404504,14.98
s961404502,19.99
s961404154,13.98
s961404151,12.45
s961404149,10.76
s961404148,19.99
s961404146,13.98
s961404144,12.45
s961404143,10.76
s961404142,14.99
s961404141,16.98
s961404140,12.99
s961404139,19.11
s961404138,15.23
s961404136,18.99
s961404135,19.55
s961404134,15.76
s961404133,13.54
s961404132,18.99
s961404131,13.65
s961404129,13.87
s961404128,14.88
s961404127,13.65
s961404125,14.99
s961404122,13.94
s961404121,17.44
s961404119,12.99
s961404116,13.65
s961404115,16.00
s961404114,14.87
s961404113,16.98
s961404112,19.11
s961404111,15.22
s961404110,18.32
s961404108,19.32
s961404107,18.43
s961404106,18.99
s961404105,12.43
s961404103,17.87
s961404102,20.00
s961404101,18.98
s961402134,14.99
s951404509,18.98
s951404503,14.77
s951404129,15.98
s951404128,14.98
s951404123,19.99
s951404118,13.98
s951404111,12.45
s941404503,10.76
