ExamID,UserName,Title,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
2036,s951404123,کوییز فصل اول فولاد یک,5.218.118.205,Chrome 83.0,2021-03-15 09:20:46.603,2021-03-15 09:39:09.373,10.00
2036,s961404129,کوییز فصل اول فولاد یک,NULL,NULL,NULL,NULL,0.00
2036,s971404101,کوییز فصل اول فولاد یک,164.138.136.242,Chrome 89.0,2021-03-15 09:21:19.140,2021-03-15 09:40:23.847,10.30
2036,s971402153,کوییز فصل اول فولاد یک,NULL,NULL,NULL,NULL,0.00
2036,s971404102,کوییز فصل اول فولاد یک,NULL,NULL,NULL,NULL,0.00
2036,s971404103,کوییز فصل اول فولاد یک,5.124.15.234,Chrome 71.0,2021-03-15 09:21:03.997,2021-03-15 09:39:14.763,12.00
2036,s971404105,کوییز فصل اول فولاد یک,37.254.159.150,Chrome 83.0,2021-03-15 09:20:21.257,2021-03-15 09:37:56.623,11.00
2036,s971404106,کوییز فصل اول فولاد یک,37.255.165.6,Chrome 89.0,2021-03-15 09:24:25.377,2021-03-15 09:40:30.927,10.00
2036,s971404110,کوییز فصل اول فولاد یک,188.159.133.54,Firefox 86.0,2021-03-15 09:21:30.453,2021-03-15 09:39:34.153,10.00
2036,s971404111,کوییز فصل اول فولاد یک,5.124.167.82,Chrome 89.0,2021-03-15 09:21:21.653,2021-03-15 09:40:36.863,10.00
2036,s971404120,کوییز فصل اول فولاد یک,37.255.157.30,Chrome 89.0,2021-03-15 09:27:26.567,2021-03-15 09:40:30.957,13.00
2036,s971404121,کوییز فصل اول فولاد یک,151.246.200.214,Chrome 68.0,2021-03-15 09:22:05.297,NULL,13.00
2036,s971404122,کوییز فصل اول فولاد یک,158.58.29.96,Chrome 88.0,2021-03-15 09:37:32.250,2021-03-15 09:39:36.027,15.00
2036,s971404123,کوییز فصل اول فولاد یک,93.110.47.62,Chrome 89.0,2021-03-15 09:20:02.927,NULL,0.00
2036,s971404125,کوییز فصل اول فولاد یک,NULL,NULL,NULL,NULL,0.00
2036,s971404127,کوییز فصل اول فولاد یک,5.219.179.253,Chrome 89.0,2021-03-15 09:21:05.603,NULL,0.00
2036,s971404129,کوییز فصل اول فولاد یک,94.183.167.189,Chrome 89.0,2021-03-15 09:21:57.170,2021-03-15 09:40:07.357,13.00
2036,s971404132,کوییز فصل اول فولاد یک,85.185.132.36,Chrome 89.0,2021-03-15 09:20:42.323,2021-03-15 09:40:01.370,12.00
