UserName,GPA
s971804102,13.33
s971804114,17.87
s981804203,18.99
s981804207,19.00
s981804210,12.98
s981804211,18.97
s981804212,19.11
s981804213,14.56
s981804217,15.98
s981804218,17.34
s981804219,14.66
s981804220,13.98
s981804222,15.98
s981804223,17.98
s991804235,16.98
s991804236,15.65
s991804234,19.99
s991804237,16.87
s991804238,12.76
s981804234,15.98
s991802216,16.09
s991804202,14.98
s991804203,13.98
s991804204,17.99
s991804207,17.98
s991804208,10.87
s991804209,10.98
s961801110,11.76
s991804210,13.87
s991804212,15.87
s991804213,19.99
s991804214,13.87
s991804215,13.87
s991804217,12.98
s991804219,12.99
s991804222,14.76
s991804223,12.87
s991804226,12.98
s991804227,13.99
s991804228,19.07
s991804230,18.99
s991804233,17.33
s961804105,16.98
