ExamID,UserName,Title,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
3246,s971603101,فقه حدود,5.218.14.230,Chrome 90.0,2021-05-01 08:54:08.177,2021-05-01 09:00:29.217,16.99
3246,s971603102,فقه حدود,69.194.93.116,Firefox 85.0,2021-05-01 08:51:07.113,2021-05-01 08:59:56.850,18.33
3246,s971603103,فقه حدود,93.110.188.88,Chrome 79.0,2021-05-01 08:50:08.377,2021-05-01 08:59:12.050,17.76
3246,s971603104,فقه حدود,5.218.197.42,Chrome 89.0,2021-05-01 08:50:03.220,2021-05-01 08:58:07.153,18.22
3246,s971603105,فقه حدود,83.122.199.183,Chrome 90.0,2021-05-01 08:51:29.543,2021-05-01 08:58:23.217,15.54
3246,s971603106,فقه حدود,46.245.88.59,Chrome 90.0,2021-05-01 08:51:03.597,2021-05-01 09:00:19.390,12.11
3246,s971603107,فقه حدود,93.110.17.209,Chrome 84.0,2021-05-01 08:50:16.097,2021-05-01 08:58:45.577,18.54
3246,s971603108,فقه حدود,5.218.12.204,Chrome 89.0,2021-05-01 08:50:18.923,2021-05-01 08:59:30.240,18.76
3246,s971603109,فقه حدود,46.225.162.248,Chrome 89.0,2021-05-01 08:50:06.237,2021-05-01 08:57:18.397,14.33
3246,s971603110,فقه حدود,69.194.107.169,Chrome 90.0,2021-05-01 08:50:48.317,2021-05-01 08:55:54.353,12.87
3246,s971603111,فقه حدود,5.127.229.175,Chrome 81.0,2021-05-01 08:53:19.220,2021-05-01 08:58:19.247,15.87
3246,s971603112,فقه حدود,5.200.101.177,Chrome 28.0,2021-05-01 08:50:25.330,2021-05-01 08:55:18.610,16.99
3246,s971603114,فقه حدود,5.250.65.173,Chrome 61.0,2021-05-01 08:52:04.403,2021-05-01 08:58:18.513,18.33
3246,s971603115,فقه حدود,5.124.178.198,Chrome 87.0,2021-05-01 09:09:54.200,2021-05-01 09:15:03.217,17.76
3246,s971603116,فقه حدود,46.100.252.234,Chrome 90.0,2021-05-01 08:50:13.267,2021-05-01 08:53:23.110,18.22
3246,s971603118,فقه حدود,188.215.194.212,Chrome 87.0,2021-05-01 08:50:29.550,2021-05-01 08:57:54.027,15.54
3246,s971603119,فقه حدود,5.250.67.205,Chrome 81.0,2021-05-01 08:50:29.533,2021-05-01 08:59:05.470,12.11
3246,s971603120,فقه حدود,NULL,NULL,NULL,NULL,0.00
3246,s971603121,فقه حدود,93.110.33.161,Chrome 71.0,2021-05-01 08:50:09.080,2021-05-01 08:58:21.323,18.76
3246,s971603122,فقه حدود,NULL,NULL,NULL,NULL,0.00
3246,s971603123,فقه حدود,164.138.174.188,Chrome 80.0,2021-05-01 08:50:39.473,2021-05-01 08:57:35.600,12.87
3246,s971603125,فقه حدود,151.239.236.179,Chrome 89.0,2021-05-01 08:50:20.127,2021-05-01 08:56:10.620,15.87
3246,s971603126,فقه حدود,95.162.239.61,Chrome 87.0,2021-05-01 08:50:08.173,2021-05-01 08:58:17.747,14.00
3246,s971603127,فقه حدود,5.250.81.22,Chrome 87.0,2021-05-01 08:50:19.017,2021-05-01 08:58:46.107,11.00
3246,s971603128,فقه حدود,69.194.67.75,Firefox 88.0,2021-05-01 08:51:36.747,2021-05-01 09:00:09.357,14.00
3246,s971603129,فقه حدود,NULL,NULL,NULL,NULL,0.00
