UserName,GPA
s961406114,15.55
s961406115,14.98
s961406123,13.32
s961406132,16.98
s961406145,13.99
s961406150,15.98
s961406168,16.99
s961406169,15.98
s961406182,19.01
s961406503,20.00
s971406108,14.98
s971406110,14.77
s971406117,13.43
s971406119,12.93
s971406125,14.93
s971406123,13.74
s971406135,12.98
s971406140,15.82
s971406149,14.82
s971406160,13.98
s971406159,14.58
s971406163,13.43
s971406165,12.93
s971406171,14.93
s971406501,13.74
s971406157,12.98
s971406142,15.82
s971406132,14.82
s971406116,13.98
s971406104,14.58
s961406179,13.43
s961406148,12.93
s961406141,14.93
s961406130,13.74
s961406112,12.98
s961406105,15.82
s961406108,14.82
s961406109,13.98
s961406111,14.58
s961406117,13.43
s951406123,12.93
s961406135,14.93
s961406178,13.74
s961406175,12.98
s961406167,15.82
s961406125,14.82
s961406164,13.98
s971406115,14.58
s971406133,18.00
s971406145,14.00
s961403139,16.00
s961403101,17.00
s961403111,18.00
s961403124,17.00
s961403125,18.00
s961403126,17.00
s961403135,18.00
s971403167,17.00
s971403105,17.00
s971403113,15.00
s971403114,16.00
s971403117,15.00
s971403124,13.00
s971403123,13.00
s971403126,19.00
s971403130,15.00
s971403135,18.00
s971403138,12.00
s971403144,11.00
s971403131,20.00
s971403158,13.43
s971403160,12.93
s971403162,14.93
s971403155,13.74
s971403164,17.98
s971403166,15.82
s961403134,14.82
s961403122,13.98
s951403141,14.58
s961403108,18.00
s971403147,14.00
s971406155,16.00
s971406156,17.00
s971406143,18.00
s971406141,17.00
s971406161,18.00
s971406107,17.00
s971406138,18.00
s971406131,17.00
s971406122,17.00
s971406127,15.00
s971406114,16.00
s961406177,15.00
s951406119,13.00
s961406103,13.00
s961406104,19.00
s961403152,19.99
s961403110,18.32
s951403104,18.43
s961403117,15.88
s961403138,13.98
s961406507,18.93
s941402107,18.88
s951406124,14.87
s951406134,14.99
s961406102,19.98
s961406119,16.00
s961406156,15.00
s961406161,13.00
s961406131,13.00
s961406139,19.00
s961406133,19.99
s961406134,18.32
s961406505,18.43
s961406143,15.88
s971406136,13.98
s971406130,18.93
s971401159,18.88
